bestObjID,class,z,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1237673706114056656,STAR,8.600552e-05,20.80991,19.95281,19.72077,19.61296,19.609,0.08809012,0.0179866,0.01984068,0.0245584,0.0749598
1237665570898772148,QSO,0.8487763,20.12045,19.85562,19.76157,19.66684,19.5111,0.05199162,0.016224,0.01846451,0.02138149,0.07016886
1237667782821479331,GALAXY,0.6206971,22.95185,23.59784,21.25102,20.05865,19.67534,0.5565254,0.3956949,0.08464608,0.04026486,0.1095817
1237660935555252365,GALAXY,0.08032917,19.96235,18.14096,17.25075,16.84816,16.52677,0.08264955,0.009876129,0.005868578,0.005501663,0.01057316
1237662620263907748,GALAXY,0.1744912,19.86785,18.58753,17.71519,17.27247,16.94711,0.08370555,0.01152287,0.008015461,0.007575626,0.02158986
1237655125016314959,GALAXY,0.5274523,23.49317,22.22932,20.28548,19.3514,19.03439,1.078596,0.1956186,0.05127588,0.03340368,0.1037862
1237664667373600989,QSO,1.643786,20.97782,20.6372,20.18638,19.90141,19.82874,0.07060452,0.02418432,0.0231289,0.02790803,0.08960298
1237678437018042521,GALAXY,0.05462858,19.51228,18.59763,18.4846,18.21407,18.2649,0.04603291,0.01030064,0.01054066,0.01114978,0.03372488
1237667736104009917,GALAXY,0.2162776,22.08603,19.21011,17.84022,17.35662,17.07737,0.4672421,0.02014631,0.009332129,0.009033958,0.02007352
1237678790276481209,GALAXY,0.04647374,19.13258,17.4033,16.58475,16.2121,15.91177,0.06474109,0.006969676,0.005298341,0.00522579,0.01303179
1237667212138775421,GALAXY,0.4724074,23.34694,21.90683,20.31576,19.48032,18.95951,0.5811386,0.08486449,0.03702331,0.0330411,0.07251553
1237665367433478275,STAR,-2.895104e-05,22.05778,19.72795,18.25686,17.01986,16.34102,0.1945908,0.01558931,0.0078186,0.005553903,0.0082048
1237680070713147854,GALAXY,0.4944207,22.89093,21.69886,20.37448,19.56211,18.90656,0.7229165,0.09705546,0.0430432,0.02997563,0.07020655
1237673700745478939,QSO,0.70711,23.87925,22.23566,21.25489,20.62033,20.2968,1.610689,0.1688735,0.1253459,0.1032274,0.3243322
1237678602386014534,QSO,1.108275,21.58599,21.28681,20.76484,20.63799,20.60798,0.1444578,0.04706077,0.04078358,0.05837034,0.1852958
1237665368505122993,GALAXY,0.3988849,23.5115,21.18953,19.39042,18.7025,18.36479,0.9072747,0.06201097,0.02019048,0.01665284,0.04636526
1237654606944010401,GALAXY,0.07479149,18.55303,17.23167,16.70629,16.38559,16.19243,0.03460808,0.005629822,0.005081846,0.005295913,0.0134355
1237679503780544824,QSO,2.126524,19.96387,19.9805,20.09459,19.94338,20.12825,0.08502872,0.02710889,0.03489788,0.03809781,0.1686288
1237662697576923502,GALAXY,0.2627418,24.43855,19.91243,18.31403,17.75029,17.35831,2.132381,0.03420991,0.01321279,0.01162432,0.03022374
1237655124474069487,GALAXY,0.6289557,22.46147,22.23357,20.66635,19.69419,19.23985,0.4433464,0.1507739,0.05957887,0.04076222,0.08694991
1237661968504652432,GALAXY,0.5436338,23.40966,21.90174,20.60589,19.61781,19.27041,1.380607,0.1346067,0.06372612,0.04331422,0.1116803
1237664834859368555,GALAXY,0.03610599,18.09742,16.75507,16.28881,16.01516,15.8166,0.03480421,0.005391424,0.005142372,0.004943556,0.01223775
1237666184027636225,QSO,2.206746,21.34223,20.87205,21.11175,21.01079,20.65267,0.1152698,0.03172584,0.0547233,0.07627285,0.2346822
1237679324469985522,QSO,1.833848,21.57578,21.19373,21.22084,21.03008,21.24105,0.2260384,0.05116531,0.06451883,0.08335128,0.3278602
1237659119859990695,GALAXY,0.2718575,25.3426,20.25917,18.63548,18.0577,17.7199,1.505299,0.03201659,0.01437676,0.01271869,0.03549209
1237662698104488310,GALAXY,0.4644359,22.8765,21.51266,19.76978,18.97471,18.65014,0.6744744,0.09357902,0.03236252,0.02580617,0.06248204
1237662223530328396,GALAXY,0.4751757,26.06799,21.69305,20.38451,19.51883,19.16802,0.7725224,0.1071132,0.04866012,0.03244665,0.08132034
1237652946919489720,GALAXY,0.1387436,19.77795,17.81576,16.77201,16.35038,15.99156,0.102879,0.008961069,0.005606642,0.005837101,0.01328783
1237654652034613559,QSO,1.635399,20.9805,20.58895,20.49117,20.28956,20.25543,0.09642941,0.02894027,0.03823816,0.04312847,0.1431472
1237671123765559589,STAR,-2.603152e-05,23.98725,22.00933,20.79501,19.70986,19.17631,0.8815928,0.09584694,0.0473969,0.02669252,0.05760175
1237680299429527847,GALAXY,0.3204623,23.7519,19.99595,18.37838,17.80004,17.47909,2.500216,0.04033125,0.01596274,0.01437973,0.03698493
1237662636904874294,GALAXY,0.315903,22.19599,20.56615,18.84354,18.24663,17.90564,0.330396,0.03594878,0.01346725,0.01165336,0.03031835
1237671992413651589,GALAXY,0.7303159,24.84075,22.28282,21.10011,19.94766,19.38594,1.299924,0.1683849,0.0876648,0.05201725,0.1025662
1237648721232331296,QSO,0.8354188,22.54064,21.64865,21.5065,21.44236,20.98211,0.2132774,0.05302992,0.06499964,0.08285052,0.2047994
1237669696765166162,QSO,1.453361,22.09372,21.862,21.72134,21.47766,21.36902,0.2565485,0.08227529,0.09282084,0.1128477,0.3674834
1237661850942767590,GALAXY,0.5188558,23.99653,21.34076,19.89233,18.9028,18.53907,1.980103,0.1034645,0.04413,0.02617373,0.07464352
1237661360759898180,STAR,0.0004310379,20.32505,19.40427,19.18272,19.14072,19.17535,0.06122756,0.01258378,0.01340801,0.01777848,0.06066888
1237657607497842731,QSO,0.670657,24.12296,20.76181,20.63333,20.39676,20.80932,0.8699194,0.03249677,0.03685611,0.0355186,0.173849
1237667735594271072,STAR,-0.0004306824,21.18943,20.44826,20.24801,20.02067,19.84979,0.08841035,0.02094081,0.02432485,0.02519525,0.08299181
1237661872934158459,STAR,-0.0003418376,19.58012,18.67035,18.31,18.1938,18.13337,0.03455716,0.007891561,0.007809133,0.009214381,0.02558767
1237657769633972567,STAR,-0.000216492,21.62775,21.1706,21.24696,21.41122,21.12569,0.1511992,0.0484139,0.0644823,0.1163683,0.3159423
1237666463185437375,STAR,-0.000290004,20.23855,18.60829,18.07516,17.91812,17.85243,0.09439881,0.01212541,0.009596545,0.00960753,0.02071722
1237660024494883019,GALAXY,0.05315185,21.36143,19.33542,18.65535,18.22147,18.12145,0.2330261,0.01967566,0.01514366,0.01487802,0.04335069
1237667782306758865,GALAXY,0.3522819,22.50777,20.40012,18.61042,17.9706,17.61989,0.6518505,0.03894947,0.01318547,0.01121812,0.02859058
1237666090051829992,STAR,-3.885994e-05,20.83867,19.22485,18.53872,18.23992,18.10434,0.0727656,0.01152375,0.008853815,0.008955449,0.0216744
1237654897390650121,GALAXY,0.5060451,23.29091,22.08317,20.40866,19.49167,19.15789,0.8323215,0.1310634,0.0467797,0.02897107,0.07971375
1237657632189382890,STAR,3.853104e-05,20.75498,18.76507,18.06708,17.77699,17.65859,0.05173152,0.008549276,0.006904514,0.007046298,0.01472053
1237663269334155412,STAR,-0.0003340984,18.21583,17.06292,17.07399,17.16786,17.22711,0.01913563,0.004635843,0.005018159,0.006321031,0.01505552
